Time, a.x, a.y, a.z, g.x, g.y, g.z, m.x, m.y, m.z
7020, -0.00, -0.04, 0.95, 0.76, -0.82, 0.06, -0.12, 0.31, -0.61
7051, -0.00, -0.04, 0.95, 0.90, -0.85, 0.03, -0.12, 0.31, -0.61
7079, -0.00, -0.04, 0.95, 0.87, -0.82, -0.02, -0.12, 0.31, -0.61
7110, -0.00, -0.04, 0.95, 0.85, -0.81, 0.07, -0.12, 0.31, -0.61
7142, -0.00, -0.04, 0.95, 0.83, -0.80, 0.01, -0.12, 0.31, -0.61
7172, -0.00, -0.04, 0.95, 0.80, -0.74, 0.20, -0.12, 0.31, -0.62
7200, -0.00, -0.04, 0.95, 0.75, -0.85, 0.08, -0.12, 0.31, -0.61
7231, -0.00, -0.04, 0.95, 0.94, -0.85, 0.03, -0.12, 0.31, -0.61
7260, -0.00, -0.04, 0.95, 0.71, -0.87, 0.06, -0.12, 0.31, -0.61
7290, -0.00, -0.04, 0.95, 0.70, -0.85, 0.17, -0.12, 0.31, -0.61
7320, -0.00, -0.04, 0.95, 0.81, -0.78, 0.03, -0.12, 0.31, -0.61
7347, 0.00, -0.04, 0.95, 0.82, -0.81, 0.01, -0.12, 0.31, -0.61
7379, -0.00, -0.04, 0.95, 0.70, -0.88, 0.06, -0.12, 0.31, -0.62
7410, -0.00, -0.04, 0.95, 0.69, -0.77, 0.11, -0.12, 0.31, -0.61
7440, -0.00, -0.04, 0.95, 0.75, -0.81, 0.02, -0.12, 0.31, -0.61
7471, -0.00, -0.04, 0.95, 0.88, -0.67, 0.13, -0.12, 0.31, -0.61
7500, -0.00, -0.04, 0.95, 0.90, -0.82, 0.06, -0.12, 0.31, -0.61
7531, -0.00, -0.04, 0.95, 0.88, -0.76, 0.18, -0.12, 0.31, -0.61
7560, 0.00, -0.04, 0.95, 0.72, -0.80, 0.04, -0.13, 0.31, -0.62
7589, 0.00, -0.04, 0.95, 0.73, -0.71, 0.03, -0.13, 0.31, -0.62
7632, -0.00, -0.04, 0.95, 0.66, -0.80, -0.06, -0.12, 0.31, -0.62
7661, -0.00, -0.04, 0.95, 0.81, -0.81, 0.03, -0.12, 0.31, -0.62
7690, -0.00, -0.04, 0.95, 0.80, -0.74, 0.04, -0.12, 0.31, -0.62
7719, -0.00, -0.04, 0.95, 0.80, -0.77, 0.14, -0.12, 0.31, -0.62
7749, 0.00, -0.04, 0.95, 0.73, -0.87, 0.05, -0.12, 0.31, -0.62
7780, -0.00, -0.04, 0.95, 0.85, -0.77, -0.02, -0.12, 0.31, -0.62
7809, 0.00, -0.04, 0.95, 0.80, -0.63, 0.02, -0.12, 0.31, -0.62
7841, -0.00, -0.04, 0.95, 0.81, -0.95, 0.12, -0.13, 0.31, -0.61
7870, -0.00, -0.04, 0.95, 0.85, -0.83, 0.12, -0.13, 0.31, -0.62
7900, -0.00, -0.04, 0.95, 0.82, -0.73, -0.02, -0.13, 0.31, -0.62
7928, -0.00, -0.04, 0.95, 0.76, -0.80, 0.07, -0.13, 0.31, -0.62
7958, -0.00, -0.04, 0.95, 0.88, -0.75, 0.12, -0.13, 0.31, -0.62
7987, -0.00, -0.04, 0.95, 0.77, -0.81, 0.11, -0.13, 0.31, -0.61
8016, -0.00, -0.04, 0.95, 0.84, -0.88, 0.14, -0.12, 0.31, -0.62
8045, -0.00, -0.04, 0.95, 0.73, -0.70, 0.10, -0.12, 0.31, -0.62
8080, -0.00, -0.04, 0.95, 0.78, -0.82, 0.01, -0.13, 0.31, -0.61
8110, -0.00, -0.04, 0.95, 0.74, -0.74, -0.01, -0.13, 0.31, -0.61
8139, 0.00, -0.04, 0.95, 0.74, -0.79, 0.03, -0.13, 0.31, -0.61
